id,hotel_name,hotel_description,star_classification,auto_confirmation,triggers,hotel_classification,longitude,latitude,provider,hotel_address,trip_advisor_link,hotel_image,country,city,micro_location,hotel_status,start_date,end_date,vendor_id,updated_by,created_at,updated_at,additional_data_1,markup,sub_description,deleted_at,temp_column
1,Ramada by Wyndham Colombo,"<p>Ramada Colombo offers a comfortable stay in the heart of the city, providing easy access to Colombo’s main attractions and business hubs. The hotel features modern rooms equipped with essential amenities, an outdoor pool, and a selection of dining options, including international and local cuisine. It is a convenient choice for both business and leisure travelers, with its proximity to Galle Face Green and the beach. </p>",4,0,0,,79.8477688,6.924041689,,"Ramada by Wyndham Colombo, 30 Sir Mohomad Macan Markar Mawatha, Colombo 00300",https://www.tripadvisor.com/Hotel_Review-g293962-d306381-Reviews-Ramada_by_Wyndham_Colombo-Colombo_Western_Province.html,https://aahaas-prod-assets.s3.ap-southeast-1.amazonaws.com/productImages/hotels/FYlzuanzx55ra1Y1hFdsaSWtJNsvstDSE6K5kJ0O.jpg,LK,Colombo,Colombo,1,2025-01-24,2025-10-31,137,792,2024-10-08 00:00:00,2025-01-24 03:23:32,USD,18,"Ramada Colombo offers comfortable stay, modern rooms, outdoor pool, and dining options in city center.",,
2,Galle Face Hotel,"Sri Lanka’s iconic landmark, The Galle Face Hotel, is situated in the heart of Colombo, along the seafront and facing the famous Galle Face Green. One of the oldest hotels east of the Suez, The Galle Face Hotel embraces its rich history and legendary traditions, utilizing them to create engaging, immersive experiences that resonate with old and new generations of travellers alike.",4,0,0,4,79.8461591,6.923561514,1,"Galle Face Hotel, 3, 2 Galle Rd, Colombo 00300",https://www.tripadvisor.com/Hotel_Review-g293962-d2038179-Reviews-Galle_Face_Hotel_Colombo-Colombo_Western_Province.html,https://aahaas-prod-assets.s3.ap-southeast-1.amazonaws.com/productImages/hotels/JcXviKtSy5bg8krXMlUk6wxaiGsYhsFKEVA6RFD4.jpg,LK,Colombo,Colombo,1,2024-10-03,2025-09-15,138,792,2024-10-08 00:00:00,2024-10-08 00:00:00,,18,"The iconic Galle Face Hotel in Colombo, Sri Lanka, offers rich history and immersive experiences by the sea.",,
3,Taj Samudra,"Taj Samudra, Colombo offers rooms overlooking the Indian Ocean or city skyline. It boasts an outdoor pool, 7 dining options, and tennis courts. Bright and airy, elegant rooms have classic wood furnishings and comfortable seating areas. They are fitted with cable TV, a fridge, and a tea/coffee maker. For leisure, relaxing massages, a well-equipped fitness center, and squash courts are available. Attentive staff can provide business and childcare services. Guests can enjoy traditional dishes at Golden Dragon Chinese Restaurant and Navratna Indian Restaurant. Other dining highlights include Ports of Call Global Cuisine Restaurant, Crab Factory Seafood Restaurant, Lattice for Tea & Coffee, and Yumi Japanese Restaurant.",5,0,500,4,6.926046017,79.84713766,1,"Taj Samudra, Colombo, No 25 Galle Face Center Rd, Colombo 30000",https://www.tripadvisor.com/Hotel_Review-g293962-d304700-Reviews-Taj_Samudra_Colombo-Colombo_Western_Province.html,https://aahaas-prod-assets.s3.ap-southeast-1.amazonaws.com/productImages/hotels/dBSkqeGc9j6xAX3BkSiIIjuwfcmBAPRvikKpBMWd.jpg,LK,Colombo,Colombo,0,2024-09-15,2025-09-15,139,139,2024-10-08 00:00:00,2024-10-08 00:00:00,,18,"Luxury hotel in Colombo, Taj Samudra offers captivating views of the Indian Ocean and Colombo city.",,
4,Galadari,"Galadari Hotel Colombo is a luxury hotel located in the heart of Colombo, Sri Lanka. Overlooking the Indian Ocean, the hotel offers elegant accommodations with a blend of modern amenities and classic style. Guests can enjoy a range of dining options, recreational facilities, and event spaces, making it ideal for both business and leisure travelers. Its prime location near major attractions and business centers adds to its appeal.",4,0,0,4,79.8431973,6.935244955,1,"The Galadari Hotel, 64 Lotus Rd, Colombo 00100",https://www.tripadvisor.com/Hotel_Review-g293962-d447410-Reviews-Galadari_Hotel-Colombo_Western_Province.html,https://aahaas-prod-assets.s3.ap-southeast-1.amazonaws.com/productImages/hotels/ywvqf0VQSTTKNXY1a4MDZvf4zrhLNkYkls1Z7J8G.jpg,LK,Colombo,Colombo,1,2024-09-15,2025-09-15,140,140,2024-10-08 00:00:00,2024-10-08 00:00:00,,18,"Luxury hotel in Colombo with elegant accommodations, dining options, and event spaces, near major attractions.",,
5,Cinnamon Lakeside,"<p>Cinnamon Lakeside Colombo is a luxurious five-star hotel located by the serene Beira Lake in the heart of Colombo, Sri Lanka. The hotel offers a blend of contemporary elegance and traditional hospitality, featuring spacious rooms and suites with stunning views, world-class dining options, a full-service spa, a large outdoor pool, and state-of-the-art conference facilities. Its prime location provides easy access to Colombo's business district and popular attractions, making it an ideal choice for both business and leisure travelers.</p>",5,0,500,4,79.8494665,6.932406361,1,"Cinnamon Lakeside Colombo, 115, Sir Chittampalam A Gardiner Mawatha, 00200",https://www.tripadvisor.com/Hotel_Review-g293962-d456049-Reviews-Cinnamon_Lakeside_Colombo-Colombo_Western_Province.html,https://aahaas-prod-assets.s3.ap-southeast-1.amazonaws.com/productImages/hotels/uIa2NnFFPFa2IFQoK0p082wlrME0HBPiJPZ9Wn2G.jpg,LK,Colombo,Colombo,1,2024-10-29,2025-04-30,141,792,2024-10-08 00:00:00,2024-10-29 06:09:43,USD,18,"Luxurious five-star hotel in Colombo with contemporary elegance, spacious rooms, world-class dining, spa, pool, and conference facilities.",,
6,Berjaya Hotel,"<p>Berjaya Hotel Colombo is a beachfront hotel located in Mount Lavinia, a suburb of Colombo, Sri Lanka. Known for its tranquil setting, the hotel offers stunning views of the Indian Ocean. It features comfortable rooms, an outdoor pool, and a variety of dining options, including a restaurant serving local and international cuisine. The hotel's convenient location provides easy access to Colombo's city center, as well as popular attractions like Mount Lavinia Beach and the National Zoological Gardens. Berjaya Hotel Colombo is ideal for both leisure and business travelers seeking a relaxing stay by the sea.</p>",3,0,0,4,79.86366684,6.842329719,1,"Berjaya Hotel Colombo, 36 College Avenue, Dehiwala-Mount Lavinia",https://www.tripadvisor.com/Hotel_Review-g499079-d505588-Reviews-Berjaya_Hotel_Colombo-Dehiwala_Mount_Lavinia_Western_Province.html,https://aahaas-prod-assets.s3.ap-southeast-1.amazonaws.com/productImages/hotels/I7aMWgcGhZ0RPwTCktucuNvXs2XF2JwAHhhy60re.jpg,LK,Colombo,Colombo,1,2024-12-24,2025-03-31,142,792,2024-10-08 00:00:00,2024-12-24 05:40:46,USD,18,"Beachfront Berjaya Hotel Colombo offers tranquil setting, stunning ocean views, comfortable rooms, pool, dining options. Ideal getaway.",,
7,Mount Lavinia Hotel,"With a history spanning over 200 years, Mount Lavinia Hotel Colombo is one of the oldest hotels in Sri Lanka. This premier colonial heritage hotel in Colombo has earned a reputation over the years for its magnificent structure and ambiance, the old-world charm which harks back to the grandeur of old Ceylon, a romantic legacy left by the colonial Governor General who used it as his residence, the exceptional service offered by its well-trained staff, and its popularity as a venue for weddings.",4,0,0,4,79.86173488,6.8362089,1,"Mount Lavinia Hotel, 100 Hotel Rd, Dehiwala-Mount Lavinia",https://www.tripadvisor.com/Hotel_Review-g499079-d307713-Reviews-Mount_Lavinia_Hotel-Dehiwala_Mount_Lavinia_Western_Province.html,"https://aahaas-prod-assets.s3.ap-southeast-1.amazonaws.com/productImages/hotels/lM3BCAYJhitq7CW9WMWRbGjgVuD4bcXAEngBZyad.png,https://aahaas-prod-assets.s3.ap-southeast-1.amazonaws.com/productImages/hotels/oVn5JVTNUS3WW9v4qWiVDvqGV19JvWqFUBK3oDxm.png,https://aahaas-prod-assets.s3.ap-southeast-1.amazonaws.com/productImages/hotels/67MPih0Xs8jneqGwthBxEEw8XYBBLABAOHzspBs2.png",LK,Colombo,Colombo,1,2024-10-02,2025-10-31,143,143,2024-10-08 00:00:00,2024-10-08 00:00:00,,18,"Historic Mount Lavinia Hotel, with 200+ years of legacy, offers colonial charm, grandeur, and exceptional service for events.",,
8,Hotel Thilanka - Kandy,"<p>Hotel Thilanka in Kandy is a charming hotel located amidst the lush hills of Sri Lanka’s cultural capital. Overlooking the scenic Kandy Lake and the surrounding mountains, the hotel offers a peaceful retreat with easy access to the city's historic and cultural sites, including the Temple of the Sacred Tooth Relic. The rooms are spacious and elegantly designed, featuring modern amenities and balconies with picturesque views. Guests can relax by the outdoor pool, enjoy traditional Sri Lankan and international cuisine at the on-site restaurant, or unwind at the spa. Hotel Thilanka is an ideal choice for travelers seeking a serene and comfortable stay in the heart of Kandy.</p>",3,0,0,4,80.6457436,7.2913255,1,"Sangamitta Mawatha, Kandy, Sri Lanka",https://www.tripadvisor.com/Hotel_Review-g304138-d477914-Reviews-Hotel_Thilanka-Kandy_Kandy_District_Central_Province.html,https://aahaas-prod-assets.s3.ap-southeast-1.amazonaws.com/productImages/hotels/7vFZZd6UTuGKFLYt5hOpOQHL2ZIKkzIfJzipiBg8.jpg,LK,Kandy,Kandy,1,2024-10-30,2025-04-30,144,792,2024-10-08 00:00:00,2024-10-30 07:35:58,USD,18,"Hotel Thilanka in Kandy offers a serene retreat with stunning views, spacious rooms, and modern amenities.",,
9,Sigiriya Village,"Sigiriya Village is a tranquil resort located near the iconic Sigiriya Rock Fortress in Sri Lanka. Nestled amidst lush greenery and serene landscapes, the resort offers a peaceful escape with traditional Sri Lankan-style cottages. Each cottage is designed to blend seamlessly with the natural surroundings, providing a rustic yet comfortable experience. Guests can enjoy the resort's scenic gardens, a refreshing pool, and a range of local and international cuisine. The proximity to Sigiriya Rock makes it an ideal base for exploring this UNESCO World Heritage site and the rich cultural heritage of the region.",4,0,0,4,80.7611082,7.9495838,1,"Hotel Rd, Sigiriya, Sri Lanka",https://www.tripadvisor.com/Hotel_Review-g304141-d447407-Reviews-Sigiriya_Village_Hotel-Sigiriya_Central_Province.html,https://aahaas-prod-assets.s3.ap-southeast-1.amazonaws.com/productImages/hotels/xLqWe757pv56W7s2VvbRxTH4iM9nO4VNDT6XEVZT.jpg,LK,Dambulla,Dambulla,1,2024-10-03,2025-04-30,145,792,2024-10-08 00:00:00,2024-10-08 00:00:00,,18,"Tranquil resort near Sigiriya Rock, offering traditional cottages, lush gardens, and proximity to cultural sites.",,
10,Tree of Life,"Tree of Life Hotel is a serene retreat nestled in the lush countryside near Kandy, Sri Lanka. Surrounded by verdant forests and landscaped gardens, this eco-friendly hotel offers a peaceful escape from the hustle and bustle of city life. The hotel features comfortable accommodations that blend traditional Sri Lankan design with modern amenities, ensuring a relaxing stay. Guests can enjoy a variety of activities, including nature walks, bird watching, and spa treatments, all designed to rejuvenate the body and mind. Tree of Life Hotel is an ideal destination for those seeking tranquility and a deep connection with nature.",3,0,0,4,80.5768266,7.3191867,1,"Hotel Tree of Life,Yahalathenna, Kandy, Sri Lanka",https://www.tripadvisor.com/Hotel_Review-g12289092-d477918-Reviews-Hotel_Tree_of_Life-Kandy_District_Central_Province.html,https://aahaas-prod-assets.s3.ap-southeast-1.amazonaws.com/productImages/hotels/6nlrffqo8HWEDFSfa7NXxY8afHEYjwn2VmSz5qoE.jpg,LK,Kandy,Kandy,1,2024-09-30,2025-04-30,146,792,2024-10-08 00:00:00,2024-10-08 00:00:00,,18,"Tree of Life Hotel near Kandy, Sri Lanka offers a peaceful eco-friendly retreat with lush surroundings.",,
